year,country,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda,region
1993,Japan,199,16274,41901.2,56815.1,9536.2,1753237.12,92652.11,Asia Pacific
1993,Luxembourg,1,4,0,29.61,1226.15,1013.35,121.44,Europe
1993,Netherlands,9,704,2553.27,2116.28,7701.05,83221.84,5137.51,Europe
1993,New Zealand,1,5,0,25.51,234.39,376.34,46.12,Asia Pacific
1993,Norway,3,20,192.15,1106.24,4110.39,9194.36,1520.57,Europe
1993,Panama,1,36,404.4,197.9,2960.7,2123,627.8,North America
1993,Singapore,1,3,16.94,4.4,105.28,140.88,17.34,Asia Pacific
1993,South Korea,6,465,0,0,5560.63,30223.21,2712.52,Asia Pacific
1993,Spain,1,1,97,2619,28654,9294,4435,Europe
1993,Sweden,6,115,2203.61,1631.24,7130.45,41355.86,2984.41,Europe
1993,Switzerland,11,580,3535,3603.45,7842.79,71873.3,11557.31,Europe
1993,Taiwan,1,10,37.84,0,567.72,380.64,103.23,Asia Pacific
1993,United Kingdom,30,921,6024.22,16720.13,7592.8,210091.56,29935.21,Europe
1993,United States,962,21079,70457.46,157578.95,3548.78,2265817.99,357297.71,North America
1994,Antigua and Barbuda,1,3,0,12.37,156.87,142.95,24.68,North America
1994,Australia,3,49,103.24,3044.5,9396.6,17334.26,3770.46,Asia Pacific
1994,Belgium,3,134,360.95,129.94,3657.17,9338.11,1358.77,Europe
1994,Brazil,2,14,226.56,343.57,21050.68,20974.2,2480.53,Other
1994,Canada,40,240,1528.63,5114.41,2221.47,47768.79,8887.37,North America
1994,China,2,4,1.44,1.39,13,18.02,0.22,Asia Pacific
1994,Denmark,4,57,311.7,621.38,1982.26,6219.74,1822.29,Europe
1994,Finland,3,58,444.68,713.25,4186.46,10755.51,1807.89,Europe
1994,France,20,605,8439.66,12939.54,18305.86,264807.86,38239.6,Europe
1994,Germany,23,2210,16291.59,14105.35,14153.49,370230.84,30240.72,Europe
1994,"Hong Kong, SAR China",2,10,0.36,44.6,341.02,395.38,66.53,Asia Pacific
1994,Ireland,8,533,765.27,1134.66,2827.83,25302.64,3105.31,Europe
1994,Israel,6,26,110.87,73.1,322.28,1746.96,266.76,Other
1994,Italy,5,64,451.82,3701.13,27514.29,69986.63,17352.55,Europe
1994,Japan,213,16991,48762.51,69943.45,11856.95,2132948.96,141712.66,Asia Pacific
1994,Luxembourg,1,3,0,18.45,866,634.89,81.5,Europe
1994,Netherlands,9,687,3124.66,3510.19,8889.2,97243.89,7370.29,Europe
1994,New Zealand,1,3,0,40.14,477.93,501.97,75.2,Asia Pacific
1994,Norway,3,23,216.42,1152.45,5020.39,11761.37,2230.6,Europe
1994,Singapore,1,5,21.29,6.2,121.2,173.3,17.69,Asia Pacific
1994,South Korea,5,555,124,1610,8876.8,41611.69,7287.91,Asia Pacific
1994,Spain,2,4,136,4403,24163.5,25257,7837,Europe
1994,Sweden,6,152,2643.47,2539.39,8402.05,57386.6,6130.55,Europe
1994,Switzerland,11,653,4086.9,4518.95,9346.82,82530.63,13906.25,Europe
1994,Taiwan,1,48,40.75,0,1073.69,582.48,254.53,Asia Pacific
1994,United Kingdom,32,898,6767.58,15929.63,7905.6,223416.17,32644.23,Europe
1994,United States,1078,22196,76692.69,188283,3166.85,2525778.06,429874.64,North America
1995,Antigua and Barbuda,1,2,0,13.29,183.88,159.82,28.36,North America
1995,Australia,5,54,210.14,6533.44,10754.5,30248.01,7583.89,Asia Pacific
1995,Belgium,5,158,409.26,140.37,2393.01,10699.09,1738.61,Europe
1995,Brazil,2,22,249.59,422.88,23052.95,19989.69,2742.49,Other
1995,Canada,45,251,1911.38,6497.55,2325.25,55151.87,13816.63,North America
1995,China,1,3,1.94,1,19.79,11.47,-2.12,Asia Pacific
1995,Denmark,3,38,351.6,568.73,2885.76,6968.2,2085.25,Europe
1995,Finland,3,83,728.31,1358.32,5025,13909.11,2651.22,Europe
1995,France,20,580,9664.11,13804.7,19723.83,292147.2,42176.38,Europe
1995,Germany,24,2275,18442.24,15699.15,15049.16,409031.68,36205.77,Europe
1995,"Hong Kong, SAR China",1,5,0,65.86,610.49,284.78,56.07,Asia Pacific
1995,Ireland,9,576,874.2,1505.17,2708.86,28694.22,3847.09,Europe
1995,Israel,11,31,157.24,84.18,233.36,2499.81,271.25,Other
1995,Italy,7,55,425.55,4251.31,21211.19,83548.59,21033.72,Europe
1995,Japan,213,16788,39850.25,60851.93,10122.84,1885893.46,165951.33,Asia Pacific
1995,Luxembourg,1,3,0,23.98,621.44,675.21,77.09,Europe
1995,Netherlands,11,832,3568.08,5181.78,8474.94,113933.06,8886.5,Europe
1995,New Zealand,1,6,0,45.46,556.24,556.22,85.61,Asia Pacific
1995,Norway,3,26,245.19,1309.45,5506.97,14086.15,3189.85,Europe
1995,Singapore,2,5,71.92,53.92,426.13,1506.85,141.84,Asia Pacific
1995,South Korea,9,638,264.3,18503.73,12175.81,79337.79,20881.37,Asia Pacific
1995,Sweden,9,211,3701.87,4115.92,6930.81,75406.88,8109.87,Europe
1995,Switzerland,12,635,7225.71,6657.31,11560.46,125920.75,19193.84,Europe
1995,Taiwan,4,183,118.44,705.12,1127.43,2672.83,1333.32,Asia Pacific
1995,United Kingdom,32,924,7843.86,18162.36,8475.63,251629.6,36270.26,Europe
1995,United States,1178,22356,91757.33,215751.3,3105.68,2810730.75,503681.32,North America
1996,Antigua and Barbuda,1,2,0,11.73,199.63,177.06,28.69,North America
1996,Australia,6,101,261.08,7445.98,9346.1,33411.28,7281.18,Asia Pacific
1996,Belgium,4,144,392.75,152.69,2942.83,10166.58,1586.95,Europe
1996,Bermuda,1,1,0,0,5031.54,922.7,437.87,North America
1996,Brazil,2,14,219.11,0,25266.43,22019.6,2439.8,Other
1996,Canada,52,299,2509.81,7393.72,2208.58,66416.7,13058.62,North America
1996,China,2,3,5.75,3.68,43.35,147.61,6.8,Asia Pacific
1996,Denmark,5,79,401.11,632.53,1818.34,7364.74,1202.58,Europe
1996,Finland,4,102,1086.5,1894.37,6063.92,22824.28,3330.17,Europe
1996,France,26,747,11090.35,15628.51,14992.11,307920.2,42462.18,Europe
