gvkey,year,company,city,country_code,sector_code,patentcount,country,region
9899,2014,AT&T Inc,Dallas,USA,50,1857,United States,North America
2136,2014,Verizon Communications Inc,New York,USA,50,888,United States,North America
170617,2014,Meta Platforms Inc,Menlo Park,USA,50,297,United States,North America
3980,2014,Walt Disney Co (The),Burbank,USA,50,291,United States,North America
147204,2014,Cogent Communications Holdings Inc,Washington,USA,50,267,United States,North America
120178,2014,Voicestream Wireless Corp,Bellevue,USA,50,242,United States,North America
2884,2014,Lumen Technologies Inc,Monroe,USA,50,151,United States,North America
179202,2014,EchoStar Corp,Englewood,USA,50,150,United States,North America
3226,2014,Comcast Corp,Philadelphia,USA,50,96,United States,North America
5808,2014,Hydro Quebec,Montreal,CAN,55,12,Canada,North America
9850,2014,Southern Co (The),Atlanta,USA,55,9,United States,North America
4517,2014,NextEra Energy Inc,Juno Beach,USA,55,8,United States,North America
3413,2014,Consolidated Edison Inc.,New York,USA,55,6,United States,North America
160913,2014,Ormat Technologies Inc,Reno,USA,55,6,United States,North America
190590,2014,Genie Energy Ltd,Newark,USA,55,5,United States,North America
135990,2014,NRG Energy Inc,Houston,USA,55,4,United States,North America
165876,2014,Ecosphere Technologies Inc,Stuart,USA,55,3,United States,North America
4383,2014,Atmos Energy Corp,Dallas,USA,55,2,United States,North America
8093,2014,Covanta Energy Corp,Fairfield,USA,55,2,United States,North America
11456,2014,Weyerhaeuser Co,Seattle,USA,60,35,United States,North America
138743,2014,Equinix Inc,Redwood City,USA,60,4,United States,North America
65108,2014,Jones Lang LaSalle Inc,Chicago,USA,60,3,United States,North America
112111,2014,CoStar Group Inc,Washington,USA,60,3,United States,North America
32102,2014,Redfin Corp,Seattle,USA,60,2,United States,North America
163968,2014,Altus Group Ltd,Toronto,CAN,60,2,Canada,North America
187039,2014,Zillow Group Inc,Seattle,USA,60,2,United States,North America
7402,2014,Miller Industries Inc,Miami,USA,60,1,United States,North America
33433,2014,WeWork Inc,New York,USA,60,1,United States,North America
62374,2014,Iron Mountain Inc,Portsmouth,USA,60,1,United States,North America
10811,2014,UOP Inc,Des Plaines,USA,NA,215,United States,North America
6491,2014,Kohler Co,Kohler,USA,NA,142,United States,North America
5367,2014,Guardian Industries,Auburn Hills,USA,NA,68,United States,North America
8124,2014,Olinkraft Inc,Atlanta,USA,NA,58,United States,North America
2789,2014,Carrier Corp,Palm Beach Gardens,USA,NA,56,United States,North America
8198,2014,Otis Elevator Co,Farmington,USA,NA,47,United States,North America
1248,2014,Alcon Laboratories Inc,Fort Worth,USA,NA,46,United States,North America
7224,2014,Medline Industries Inc,Northfield,USA,NA,46,United States,North America
9239,2014,Rosemount Inc,Chanhassen,USA,NA,24,United States,North America
1965,2014,Babcock & Wilcox Co,Barberton,USA,NA,20,United States,North America
222111,2014,Petroleo Brasileiro S.A.- Petrobras,Rio De Janeiro,BRA,10,12,Brazil,Other
213479,2014,TotalEnergies Marketing Kenya PLC,Nairobi,KEN,10,10,Kenya,Other
61535,2014,Petroleos De Venezuela SA,Caracas,VEN,10,7,Venezuela,Other
287882,2014,Ecopetrol SA,Bogota,COL,10,3,Colombia,Other
100465,2014,Sasol Ltd,Johannesburg,ZAF,15,11,South Africa,Other
